timestamp,product_id,handle,old_title,new_title
2026-07-03T10:10:41.393Z,gid://shopify/Product/15043138290050,"adidas-samba-og-cloud-white-collegiate-red-gum-gs","adidas Samba OG Cloud White Collegiate Red Gum () | Resell","adidas Samba OG Cloud White Collegiate Red Gum ()"
2026-07-03T10:10:41.719Z,gid://shopify/Product/15046131188098,"adidas-samba-og-white-wonder-clay-gum-womens","adidas Samba OG White Wonder Clay Gum (Women's) | Resell","adidas Samba OG White Wonder Clay Gum (Women's)"
2026-07-03T10:10:42.139Z,gid://shopify/Product/15046131679618,"adidas-samba-xlg-core-black-cloud-white-gum-gs","adidas Samba XLG Core Black Cloud White Gum () | Resell","adidas Samba XLG Core Black Cloud White Gum ()"
2026-07-03T10:10:42.442Z,gid://shopify/Product/15046132171138,"adidas-samba-pharrell-humanrace-orbit-green","adidas Samba Pharrell Humanrace Orbit Green | Resell","adidas Samba Pharrell Humanrace Orbit Green"
2026-07-03T10:10:42.809Z,gid://shopify/Product/15046132236674,"adidas-gazelle-bold-aqua-off-white-cream-white","adidas Gazelle Bold Aqua Off White Cream White | Resell","adidas Gazelle Bold Aqua Off White Cream White"
2026-07-03T10:10:43.188Z,gid://shopify/Product/15046132269442,"adidas-gazelle-indoor-sand-strata-legend-ivy-gum","adidas Gazelle Indoor Sand Strata Legend Ivy Gum | Resell","adidas Gazelle Indoor Sand Strata Legend Ivy Gum"
2026-07-03T10:10:43.518Z,gid://shopify/Product/15046132334978,"adidas-samba-golf-cloud-white-collegiate-navy","adidas Samba Golf Cloud White Collegiate Navy | Resell","adidas Samba Golf Cloud White Collegiate Navy"
2026-07-03T10:10:43.839Z,gid://shopify/Product/15046132400514,"adidas-sl-72-rs-cloud-white-collegiate-green","adidas SL 72 RS Cloud White Collegiate Green | Resell","adidas SL 72 RS Cloud White Collegiate Green"
2026-07-03T10:10:44.229Z,gid://shopify/Product/15046132629890,"adidas-samba-og-team-victory-red-night-indigo","adidas Samba OG Team Victory Red Night Indigo | Resell","adidas Samba OG Team Victory Red Night Indigo"
2026-07-03T10:10:44.623Z,gid://shopify/Product/15046133023106,"adidas-gazelle-indoor-light-blue-floral-womens","adidas Gazelle Indoor Light Blue Floral (Women's) | Resell","adidas Gazelle Indoor Light Blue Floral (Women's)"
2026-07-03T10:10:44.955Z,gid://shopify/Product/15046133907842,"adidas-samba-og-silver-green-putty-mauve-womens","adidas Samba OG Silver Green Putty Mauve (Women's) | Resell","adidas Samba OG Silver Green Putty Mauve (Women's)"
2026-07-03T10:10:45.502Z,gid://shopify/Product/15046134268290,"adidas-ballerina-bad-bunny-off-white-black-gum","adidas Ballerina Bad Bunny Off White Black Gum | Resell","adidas Ballerina Bad Bunny Off White Black Gum"
2026-07-03T10:10:45.832Z,gid://shopify/Product/15046134399362,"adidas-samba-og-white-energy-ink-gum-womens","adidas Samba OG White Energy Ink Gum (Women's) | Resell","adidas Samba OG White Energy Ink Gum (Women's)"
2026-07-03T10:10:46.143Z,gid://shopify/Product/15046134497666,"adidas-samba-classic-black-white-dark-gum-gs","adidas Samba Classic Black White Dark Gum () | Resell","adidas Samba Classic Black White Dark Gum ()"
2026-07-03T10:10:46.471Z,gid://shopify/Product/15046134956418,"adidas-gazelle-indoor-sean-wotherspoon-mylo","adidas Gazelle Indoor Sean Wotherspoon Mylo | Resell","adidas Gazelle Indoor Sean Wotherspoon Mylo"
2026-07-03T10:10:46.932Z,gid://shopify/Product/15046135349634,"adidas-gazelle-grey-cloud-white-gold-metallic-gs","adidas Gazelle Grey Cloud White Gold Metallic () | Resell","adidas Gazelle Grey Cloud White Gold Metallic ()"
